study_id,vendor,manufacturer,model,field_T,TR_ms,TE_ms,ETL,flip_deg,slice_thick_mm,spacing_mm,inter_slice_gap_mm,acq_matrix,acq_matrix_source,fov_mm,fov_mm_source,bandwidth_Hzpx
S018,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2420.0,91.324,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),200.0,DICOM header (FOV reported in mm),97.6562
S019,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2620.0,88.02,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S020,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2560.0,85.92,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S021,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2500.0,86.22,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),230.0,DICOM header (FOV reported in mm),97.6562
S022,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S023,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.76,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S024,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.4,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S025,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S026,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S027,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
